term_id,compact_name,label,comment,domain,range,sub_property_of,type,is_link_type,term_status,version,last_modified
gs1:locationGLN,locationGLN,Location GLN,"13-digit GLN that is being used to identify a physical or digital location. If gs1:glnType is present, gs1:locationGLN SHALL only be used when gs1:GLN_TypeCode includes FIXED_PHYSICAL_LOCATION, MOBILE_PHYSICAL_LOCATION, or DIGITAL_LOCATION",gs1:Place,xsd:string,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:locationHistory,locationHistory,Has Location History,Provides details on if and when a location is active or inactive.,gs1:Place,gs1:LocationStatusHistory,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:locationID,locationID,Location ID,Identifier value associated to a location. This value SHALL follow rules set forth by the administrating organisation designated in gs1:LocationID_Type.,gs1:LocationID_Details,xsd:string,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:locationID_Qualifier,locationID_Qualifier,Location ID Qualifier,Secondary qualifier to supplement gs1:LocationID_Type meaning. May be used with proprietary ID code values to define identifier administrator.,gs1:LocationID_Details,xsd:string,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:locationID_Type,locationID_Type,Location ID,Organisation that administers the gs1:locationID or the name of the ID itself. Value from gs1:LocationID_Type code list.,gs1:LocationID_Details,gs1:LocationID_Type,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:locationID_URI,locationID_URI,Location ID URI,A URI that links to information about the gs1:locationID.,gs1:LocationID_Details,xsd:anyURI,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:locationInfo,locationInfo,Location information,"A link to a map, directions, or other location-related information. For B2B location information, see gs1:logisticsInfo. For details specific to hours of operation, see gs1:openingHoursInfo",owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:locationOpeningDate,locationOpeningDate,Location Opening Date,"Date in which a location was opened or otherwise established. Note that this is NOT the date when a GLN was allocated to identify the location. To designate when location was finally closed, see gs1: gs1:locationFinalClosureDate",gs1:Place,xsd:date,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:locationRole,locationRole,Location Role,"A location classification based on the purpose, type of site and/or what occurs there. Repeatable value from gs1:LocationRoleType code list.",gs1:Place,gs1:LocationRoleType,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:locationStatus,locationStatus,Location Status,Designation of active/inactive status of a location.,gs1:LocationStatusHistory,gs1:StatusType,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:logisticsInfo,logisticsInfo,Logistics information,A link to B2B logistics information related to a physical location.,owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:longitude,longitude,Longitude,The arc or portion of the earth's equator intersected between the meridian of a given place and the prime meridian and expressed in degrees,gs1:GeoCoordinates,xsd:string,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:loyaltyProgram,loyaltyProgram,Loyalty program,"A link to information about a loyalty program, including a member's current status and/or a registration option for new members",owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:magnesiumPerNutrientBasis,magnesiumPerNutrientBasis,Magnesium Per Nutrient Basis Quantity,Magnesium per specified nutrient basis quantity.,gs1:FoodBeverageTobaccoProduct,gs1:NutritionMeasurementType,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:makesOffer,makesOffer,Makes Offer,An offer made by an organization.,gs1:Organization,gs1:Offer,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:managedBy,managedBy,Managed by,"Links to the organisation that manages this place or organisation, as designated by the owner or another organisation.",_:u1,gs1:Organization,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:managedFor,managedFor,Managed for,"Links to the organisation(s) for whom this place is managed. Property SHOULD be applied to a specific sub-location, rather than a main location, wherever possible.",gs1:Place,gs1:Organization,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:manages,manages,Manages,"Links to the place(s) or organisation(s) that this organisation manages, on behalf of the owner or another organisation.",gs1:Organization,_:u1,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:manganesePerNutrientBasis,manganesePerNutrientBasis,Manganese Per Nutrient Basis Quantity,Manganese per specified nutrient basis quantity.,gs1:FoodBeverageTobaccoProduct,gs1:NutritionMeasurementType,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:manufacturer,manufacturer,Has Manufacturer,The organization that produces the item.,gs1:Product,gs1:Organization,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:manufacturerPreparationCode,manufacturerPreparationCode,Manufacturer Preparation Code,Code indicating the preparation methods that a manufacturer has used in the manufacturing of a product for example DEEP_FRY.,gs1:FoodAndBeveragePreparationInformation,gs1:PreparationTypeCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:manufacturersWarranty,manufacturersWarranty,Has Manufacturer's Warranty,The warranty associated with the product.,gs1:Product,gs1:WarrantyPromise,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:manufacturingPlant,manufacturingPlant,Has Manufacturing Plant,A physical location consisting of one or more buildings with facilities for manufacturing.,gs1:Product,gs1:Organization,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:massPerUnitArea,massPerUnitArea,Mass per unit area,The mass per unit area of the item. This can be given using a number of different AI ranges that depend on the units in which the mass and area are measured.,gs1:Product,gs1:QuantitativeValue,,owl:FunctionalProperty; owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:masterData,masterData,Master data,A link to a source of structured master data for the entity. This is typically for B2B applications.,owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:masterDataAvailableFor,masterDataAvailableFor,Master Data Available For,"Links from a document, message or event to static data for specified identifiers.",owl:Thing,owl:Thing,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:maturationMethod,maturationMethod,Maturation Method Code,The method of maturity for the item for example tree ripened or jet fresh.,gs1:FruitsVegetables,gs1:MaturationMethodCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:maximumDiscountAmount,maximumDiscountAmount,Maximum Discount Amount,"Links to a gs1:PriceSpecification that indicates in terms of an amount and specified currency, the maximum discount on the sales price associated with a particular gs1:Discount. This property can be used to express 'up to $10 off'.",gs1:Discount,gs1:PriceSpecification,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:maximumDiscountPercentage,maximumDiscountPercentage,Maximum Discount Percentage,A floating-point value indicating a maximum percentage discount on the sales price associated with a particular gs1:Discount. This property can be used to express 'up to 15% discount'.,gs1:Discount,xsd:float,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:maximumOptimumConsumptionTemperature,maximumOptimumConsumptionTemperature,Maximum Optimum Consumption Temperature,The upper limit drinking temperature of the optimum range of the drinking temperature. The optimum range of the drinking temperature is a recommendation and is based on the experience of the individual producer. Allows for the representation of the same value in different units of measure but not multiple values.,gs1:FoodAndBeveragePreparationInformation,gs1:QuantitativeValue,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:maximumQualifyingItems,maximumQualifyingItems,Maximum Qualifying Items,Specifies the maximum number of items that qualify for a particular gs1:Discount. This property can be used to express 'maximum N items per customer'.,gs1:Discount,xsd:integer,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:maximumQualifyingSpend,maximumQualifyingSpend,Maximum Qualifying Spend,"Links to a gs1:PriceSpecification that indicates in terms of an amount and specified currency, the maximum spend that qualifies for a particular gs1:Discount. This property can be used to express 'for purchases of up to $100'.",gs1:Discount,gs1:PriceSpecification,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:maxPrice,maxPrice,Maximum Price,Provides a maximum price value as a floating-point numeric value that is qualified by the corresponding currency. See also gs1:priceCurrency,gs1:PriceSpecification,xsd:float,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:meatPoultryType,meatPoultryType,Meat Poultry Type Code,"The fish, meat, or poultry type for this food and beverage item.",gs1:MeatPoultry,rdf:langString,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
